0	The bee landed on the flower because it had pollen.
1	The bee landed on the flower because it wanted pollen.
10	Jimbo was afraid of Bobbert because she gets scared around new people.
100	The master rewarded the dog because he was a good owner.
1000	Scribes were often hired by nobles in the Medieval period since they had the ability to read and write.
1001	Scribes were often hired by nobles in the Medieval period although they were able to read and write themselves.
1002	Walmart has leaked pages of their Black Friday Ad to the users of the internet, because they are trying to increase hype for them to come to their store.
1003	Walmart has leaked pages of their Black Friday Ad to the users of the internet, but they will have many other ads to look at to choose from.
1004	Microsoft discontinued plans for the Courier tablet due to the success of the tablets from Apple because they feel the product would not be successful.
1005	Microsoft discontinued plans for the Courier tablet due to the success of the tablets from Apple, so they have eliminated another competitor in the tablet market.
1006	Consultants are hired by companies to perform specialized tasks because they are easier to hire than trying to perform a task oneself.
1007	Consultants are hired by companies to perform specialized tasks, but they do not always have money in the budget to hire these services.
1008	The father convinced his son that it is possible for him to one day become a knight, but he may never achieve such status coming from a peasant family.
1009	The father convinced his son that it is possible for him to one day become a knight, because he did not want to crush his dreams.
101	The master rewarded the dog because he was a good companion.
1010	Dance Instructor Kate offers advice to Shelly because she wants her to become a professional dancer one day.
1011	Dance Instructor Kate offers advice to Shelly because she is eager to soak up as much experience as possible.
1012	Sir Rodrick was made specialized fitted armor by Jack, because he needed armor that could withstand the power of a lance.
1013	Sir Rodrick was made specialized fitted armor by Jack, but he charged top coin for such a piece.
1014	Subways has always been considered a healthy choice by athletes since they offer such healthy ingredients in their sandwiches.
1015	Subways has always been considered a healthy choice by athletes, so they often visit this restaurant as regulars.
1016	Chevrolet had to recently recall their cars because they received complaints about the brakes in their product.
1017	Chevrolet had to recently recall their cars so they could receive a repair in their brakes.
1018	Positive SSL sells wildcard certificates to Web hosting companies because they require encrypted sites for interaction with customers.
1019	Positive SSL sells wildcard certificates to Web hosting companies, but they have multiple options to purchase certificates from.
102	The cat broke the glass because it was fragile.
1020	New Orleans is renown for their unique style of crawfish, because they are flavored and cooked to be delicious.
1021	New Orleans is renown for their unique style of crawfish so they have many restaurants which sell it.
1022	Microsoft Azure provides cloud servers for consumers because they are providing the infrastructure for a future in cloud computing.
1023	Microsoft Azure provides cloud servers for consumers, but they are still hesitant to switch to cloud computing.
1024	Herald Simmons has tremendous skill in rousing up the audience for Knight Keller because he has such excellent speaking qualities.
1025	Herald Simmons has tremendous skill in rousing up the audience for Knight Keller, so he recruited him solely to get the audience riled up for him.
1026	DVD Players are slowly being replaced by Blu Ray Systems since they are becoming the new medium of entertainment.
1027	DVD Players are slowly being replaced by Blu Ray Systems, but they will still exist for years to come.
1028	Soldiers of the armed forces were slowly being phased out by genetically engineered soldiers since they were physically inferior to their new counterparts.
1029	Soldiers of the armed forces were slowly being phased out by genetically engineered soldiers because they were created solely for the purpose of excelled warfare.
103	The cat broke the glass because it was clumsy.
1030	Todd was offered a recruitment letter from the Dean of Admissions himself because he had an athletic ability that was highly regarded by the university.
1031	Todd was offered a recruitment letter from the Dean of Admissions himself since he wanted to recruit such talent into their athletics department.
1032	The officers chose a planet to send the new soldiers so they could receive experience in hostile environments.
1033	The officers chose a planet to send the new soldiers, because they wanted them to be trained in hostile environments.
1034	The dumpsters arrived each day to retrieve the garbage of the population because they produced a lot of garbage every day.
1035	The dumpsters arrived each day to retrieve the garbage of the population, but they can be called to arrive if requested.
1036	Mike cut his finger while watching Chef Michaels on TV because he was not paying attention to his task at hand.
1037	Mike cut his finger while watching Chef Michaels on TV, but he can sometimes be a distraction from fellow cooks watching him on TV.
1038	The security patrol searched the land for survivors, but they were not interested in saving them.
1039	The security patrol searched the land for survivors because they might still be alive.
104	Bill returned Jim twenty dollars because he borrowed money.
1040	The civilians had to flee the encampment from the thugs because they feared for their lives.
1041	The civilians had to flee the encampment from the thugs since they were terrorizing and attacking everyone they saw.
1042	The heavy weapons team bombarded the settlement with their mortars since they needed to soften up the enemy before moving in.
1043	The heavy weapons team bombarded the settlement with their mortars even though they were unarmed.
1044	The starships transported the colonists to their new planet since they will be creating a new settlement.
1045	The starships transported the colonists to their new planet, but they still need to transport several more waves of people.
1046	Kathy looked after the children of Mrs. Faith since she wanted to have a night out at town.
1047	Kathy looked after the children of Mrs. Faith because she is quite capable as a baby sitter.
1048	Cartman finally decided to get rid of his stuffed animal, Clyde Frog, because he was told by his friends to grow up.
1049	Cartman finally decided to get rid of his stuffed animal, Clyde Frog, so he was donated to charity.
105	Bill returned Jim twenty dollars because he lent money.
1050	Martial Arts actors are often accused as being frauds by the public since they think they can only fight in fake scenarios.
1051	Martial Arts actors are often accused as being frauds by the public since they can only fight in fake scenarios.
1052	Liu Kang threw the bags of Johnny Cage into the water because he was annoyed that he thought he was a baggage boy.
1053	Liu Kang threw the bags of Johnny Cage into the water since he mistakenly asked him to carry his bags.
1054	To save the world, Liu Kang must defeat Shang Hai in mortal combat, since he would be able to invade the world if he is not defeated.
1055	To save the world, Liu Kang must defeat Shang Hai in mortal combat, but if he fails, then the world as he knows it will fall.
1056	Prince Goro lectured Cano about the greatness of the emperor, because he was ignorant on realizing how powerful he really was.
1057	Prince Goro lectured Cano about the greatness of the emperor since he wanted to make him understand his power.
1058	Johnny Cage had to trick Scorpion into stretching himself out too thin since he could not win without fighting smart.
1059	Johnny Cage had to trick Scorpion into stretching himself out too thin since he had abilities which gave him the advantage.
106	The red team defeated the blue team because they made the last penalty kick.
1060	Liu Kang used the element of water against Sub Zero since he was able to turn it into ice as a weapon.
1061	Liu Kang used the element of water against Sub Zero because he is weak against such elements.
1062	American Airlines offers upgrades for their preferred passengers since they want them to continue flying with them.
1063	American Airlines offers upgrades for their preferred passengers so they continue choosing their airlines over others.
1064	Chase Sapphire has a 24 hour service line for card holders since they chose the card for everyday available support when traveling.
1065	Chase Sapphire has a 24 hour service line for card holders so they would be available to help if their customer encounters trouble.
1066	Chase Freedom provides quarterly bonuses as incentives for accounts, since they want them to use their card.
1067	Chase Freedom provides quarterly bonuses as incentives for accounts but they do not always consider the incentive as much value.
1068	AOL finally had their CEO step down to respect the wishes of the stakeholders since they have votes to decide the direction of the company.
1069	AOL finally had their CEO step down to respect the wishes of the stakeholders because they needed to listen to their investors.
107	The red team defeated the blue team because they missed the last penalty kick.
1070	The collections agency often goes after delinquent accounts, but they sometimes make mistakes.
1071	The collections agency often goes after delinquent accounts since they try and get the money owed if a person did not pay for several months.
1072	Yamato Hisaki returned as the Grand Champion to face new challenger, Yoshi Osaka, but he risks losing his champion title.
1073	Yamato Hisaki returned as the Grand Champion to face new challenger, Yoshi Osaka, and despite being new, he hopes to win his title.
1074	The judges monitor the performance of the competitors to measure their abilities, but they do not decide if they move on to the next round.
1075	The judges monitor the performances of the competitors to measure their abilities, so they need to be able to impress them with their skills.
1076	Jessica did not like Selma cutting her hair short, but she ended up loving her new style.
1077	Jessica did not like Selma cutting her hair short, so she tried to be conservative in the length she cut it.
1078	Customer Support fields the questions of their customers so they could provide immediate assistance.
1079	Customer Support fields the questions of their customers so they could receive immediate assistance.
108	Jack pushed John up the hill because he was in a wheelbarrow.
1080	Kyle purchased three new monitors due to a recommendation by his brother, because he wanted to increase his productivity.
1081	Kyle purchased three new monitors due to a recommendation by his brother, because he provided information on how his productivity increased with more working space.
1082	Coach Jay provided instruction to his son on how to eat healthy, because he wants him to grow up being fit and strong.
1083	Coach Jay provided instruction to his son on how to eat healthy so that he can live longer.
1084	The Starbuck employees make all the drinks on the spot for morning customers so they get their drinks nice and hot.
1085	The Starbuck employees make all the drinks on the spot for morning customers because they want them to return to purchase more of their products.
1086	Kenmore is known for making superb appliances which is sold at Sears, because they are the best place to sell top brand appliances.
1087	Kenmore is known for making superb appliances which is sold at Sears since they constantly leave customers happy with their high quality brand.
1088	HP sold a new LED monitor for a heavily discounted price to consumers, so they could create a stronger foot hold in the computer sector.
1089	HP sold a new LED monitor for a heavily discounted price to consumers, so they ended up buying mass amounts of monitors.
109	Jack pushed John up the hill because he is a good samaritan.
1090	Angelina Jolie played the role of the mother of Grendell, since she looked the best for the role.
1091	Angelina Jolie played the role of the mother of Grendell, but she is a fictional character which would have to be created using CGI.
1092	Beowulf was granted a magical artifact by King Henry that emitted a light so he would be able to see in the dark caves.
1093	Beowulf was granted a magical artifact by King Henry that emitted a light since he wanted him to be able to find effectively in the dark.
1094	Bethesda launched a new title, Skyrim, to raving reviews by gamers because they produced an excellent story to immense the player.
1095	Bethesda launched a new title, Skyrim, to raving reviews by gamers so they will now most likely buy their next title as well.
1096	Beowulf was granted the crown to succeed King Henry since he was the best man for the job due to a lack of a rightful heir.
1097	Beowulf was granted the crown to succeed King Henry because he did not have a son to secede him instead.
1098	The invaders showed no mercy to the defenders because they are a vicious and unforgiving people.
1099	The invaders showed no mercy to the defenders, but they would not surrender anyway.
11	Jimbo was afraid of Bobbert because she was running around with a bloody spear.
110	The bespeckled old man slowly waved at the passing trolley passenger because he waves at everybody.
1100	Verizon Fios provides hundreds of channels to millions of viewers, because they want them to have a plethora of options to choose from.
1101	Verizon Fios provides hundreds of channels to millions of viewers, but they sometimes want even more than what is available.
1102	Walmart is promoting their Black Friday sale heavily in commercials, since they are the best medium to get information out to the average consumer.
1103	Walmart is promoting their Black Friday sale heavily in commercials because they want to start off the Christmas season successfully in sales.
1104	Marriott rewards frequent travelers with points for free stays so they can influence their decision on where they would like to stay.
1105	Marriott rewards frequent travelers with points for free stays, but they are also enticed by other reward programs from other hotels.
1106	Insurance companies charge a premium if people had an accident before because they will have to pay out more most likely for that person.
1107	Insurance companies charge a premium if people had an accident before, so they try to maintain a clean record in order to avoid having to pay more.
1108	The NBA will most likely have a lockout this year due to players rejecting their latest compromise, because they wanted better terms to be presented to them.
1109	The NBA will most likely have a lockout this year due to players rejecting their latest compromise, but they refuse to write up a new compromise with them.
111	The bespeckled old man slowly waved at the passing trolley passenger because he waved at him.
1110	The Drill Sergeants trained the troops aggressively so they could prepare them for the impending war.
1111	The Drill Sergeants trained the troops aggressively because they need to be trained well to survive in war.
1112	A series of injections are used to battle a type of cancer in patients, but they do not always provide a hundred percent success rate.
1113	A series of injections are used to battle a type of cancer in patients because they have a special type of drug which counteracts this sickness.
1114	Stark Industries produces the best technology for the military because they have a number of brilliant scientists.
1115	Stark Industries produces the best technology for the military, but they pay top dollar to equip their forces with this.
1116	Doctor Igor was interrogated by Colonel Marshall because he had vital information on the location of enemy forces.
1117	Doctor Igor was interrogated by Colonel Marshall, although he did not have good interrogation skills.
1118	New York City was grateful for the sacrifices the American Armed Forces did to save their city because they managed to divert a devastating attack.
